Region,Children enrolled in a preschool or preschool program (no.),Estimated resident Aboriginal and Torres Strait Islander population (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Persons born overseas (no.),Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),Total number of businesses,Total protected land area (ha),Working age population (aged 15-64 years) (%)
Southbank - East,2021/76,2021/77,2023/18 748,2021/80.4,2021/1 820,2023/No data available,2020/No data available,2021/408,2020/17 458,2021/10 061,2021/0,2023/1 927,2022/No data available,2022/90.3
West Melbourne - Residential,2021/36,2021/89,2023/8 724,2021/82.5,2021/2 135,2023/1 365 000,2020/No data available,2021/390,2020/6 016,2021/4 026,2021/0,2023/1 091,2022/No data available,2022/88.8
Albert Park,2021/158,2021/48,2023/16 861,2021/467.5,2021/2 600,2023/2 585 000,2020/68 933,2021/493,2020/15 531,2021/5 375,2021/0,2023/5 425,2022/No data available,2022/68.4
Elwood,2021/153,2021/60,2023/15 459,2021/255.3,2021/2 300,2023/2 635 000,2020/70 277,2021/415,2020/16 869,2021/3 904,2021/0,2023/1 657,2022/No data available,2022/76.9
Port Melbourne,2021/185,2021/99,2023/16 782,2021/278.9,2021/2 515,2023/2 050 000,2020/78 187,2021/522,2020/14 337,2021/4 645,2021/3.8,2023/2 268,2022/No data available,2022/69
St Kilda East,2021/183,2021/87,2023/16 758,2021/241.4,2021/2 100,2023/1 527 500,2020/61 274,2021/384,2020/20 044,2021/5 068,2021/0,2023/1 575,2022/No data available,2022/78.8
Port Melbourne Industrial,2021/9,2021/17,2023/2 493,2021/764.3,2021/2 279,2023/No data available,2020/No data available,2021/585,2020/1 666,2021/843,2021/30,2023/2 402,2022/No data available,2022/88.1
South Melbourne,2021/133,2021/84,2023/12 512,2021/189,2021/2 217,2023/1 820 000,2020/No data available,2021/421,2020/12 325,2021/4 088,2021/0,2023/4 854,2022/No data available,2022/73.3
St Kilda - Central,2021/71,2021/130,2023/13 186,2021/153.8,2021/1 998,2023/1 662 500,2020/No data available,2021/381,2020/16 943,2021/4 501,2021/4.2,2023/2 017,2022/No data available,2022/83.6
St Kilda - West,2021/82,2021/113,2023/15 480,2021/236.4,2021/2 000,2023/2 217 500,2020/No data available,2021/392,2020/19 646,2021/5 121,2021/0,2023/2 199,2022/No data available,2022/79.5
Armadale,2021/95,2021/28,2023/9 769,2021/218.4,2021/2 479,2023/3 000 000,2020/72 012,2021/421,2020/8 995,2021/2 675,2021/0,2023/1 839,2022/No data available,2022/68.5
Prahran - Windsor,2021/141,2021/115,2023/20 268,2021/290.5,2021/2 200,2023/1 572 500,2020/69 288,2021/421,2020/23 215,2021/6 032,2021/0,2023/3 219,2022/No data available,2022/80.2
Toorak,2021/104,2021/32,2023/13 337,2021/432.3,2021/3 146,2023/4 980 000,2020/74 766,2021/490,2020/11 397,2021/3 975,2021/0,2023/2 851,2022/No data available,2022/61.5
South Yarra - North,2021/69,2021/43,2023/12 938,2021/117,2021/2 000,2023/4 300 000,2020/No data available,2021/426,2020/11 945,2021/4 740,2021/0,2023/2 930,2022/No data available,2022/86.7
South Yarra - South,2021/70,2021/70,2023/10 508,2021/134.8,2021/2 200,2023/1 955 000,2020/No data available,2021/395,2020/11 979,2021/3 556,2021/0,2023/1 823,2022/No data available,2022/78.6
Abbotsford,2021/56,2021/67,2023/10 008,2021/174.1,2021/2 167,2023/1 264 000,2020/67 457,2021/425,2020/10 466,2021/3 089,2021/0,2023/1 738,2022/No data available,2022/82.8
Carlton North - Princes Hill,2021/64,2021/37,2023/8 531,2021/230.4,2021/2 600,2023/1 730 000,2020/60 975,2021/541,2020/9 000,2021/1 848,2021/20,2023/904,2022/No data available,2022/74.3
Collingwood,2021/64,2021/87,2023/10 485,2021/126.7,2021/2 167,2023/1 093 499.5,2020/67 156,2021/425,2020/10 549,2021/3 189,2021/0,2023/2 620,2022/No data available,2022/84
Fitzroy,,,,,,,,,,,,,,
Fitzroy North,2021/103,2021/97,2023/13 382,2021/250.5,2021/2 500,2023/1 725 500,2020/67 265,2021/481,2020/13 376,2021/3 163,2021/3.8,2023/1 371,2022/No data available,2022/72.8
Clifton Hill - Alphington,2021/128,2021/68,2023/10 973,2021/520.9,2021/2 600,2023/2 112 500,2020/71 765,2021/500,2020/9 369,2021/2 121,2021/8.2,2023/1 075,2022/No data available,2022/71.3
Richmond (South) - Cremorne,2021/138,2021/133,2023/18 684,2021/428.9,2021/2 500,2023/1 606 440,2020/No data available,2021/508,2020/19 398,2021/4 236,2021/11.4,2023/4 610,2022/No data available,2022/80.3
Richmond - North,2021/106,2021/83,2023/14 884,2021/192.3,2021/2 047,2023/1 237 500,2020/No data available,2021/400,2020/14 907,2021/5 129,2021/0,2023/2 169,2022/No data available,2022/80.4
Ashburton (Vic.),2021/127,2021/36,2023/8 160,2021/283.7,2021/3 000,2023/1 970 000,2020/64 056,2021/455,2020/6 079,2021/2 226,2021/0,2023/818,2022/No data available,2022/63.8
Balwyn,2021/151,2021/40,2023/16 725,2021/558.5,2021/3 000,2023/3 030 000,2020/51 703,2021/461,2020/12 465,2021/7 133,2021/0,2023/2 699,2022/No data available,2022/62
Balwyn North,2021/204,2021/53,2023/21 883,2021/884.9,2021/3 102,2023/2 391 000,2020/53 053,2021/554,2020/15 686,2021/9 151,2021/0,2023/3 021,2022/No data available,2022/64.6
Camberwell,2021/264,2021/46,2023/21 813,2021/729.2,2021/3 000,2023/2 710 888,2020/61 715,2021/490,2020/17 660,2021/6 611,2021/0,2023/3 067,2022/No data available,2022/63.1
Glen Iris - East,2021/213,2021/41,2023/17 228,2021/570.5,2021/3 000,2023/2 500 000,2020/67 321,2021/522,2020/14 264,2021/4 455,2021/0,2023/2 167,2022/No data available,2022/64.7
Hawthorn East,2021/173,2021/57,2023/16 878,2021/382.4,2021/2 492,2023/3 262 500,2020/61 319,2021/411,2020/14 730,2021/4 845,2021/0,2023/3 117,2022/No data available,2022/71.3
Kew East,2021/82,2021/21,2023/6 636,2021/401.5,2021/3 000,2023/2 175 500,2020/60 329,2021/466,2020/5 590,2021/1 815,2021/28.6,2023/1 034,2022/No data available,2022/65.2
Surrey Hills (West) - Canterbury,2021/151,2021/43,2023/16 182,2021/570.3,2021/3 150,2023/2 732 500,2020/64 023,2021/475,2020/13 148,2021/4 529,2021/0,2023/2 461,2022/No data available,2022/62.5
Hawthorn - North,2021/103,2021/32,2023/10 560,2021/245.6,2021/2 800,2023/2 400 000,2020/No data available,2021/401,2020/10 387,2021/2 462,2021/0,2023/1 679,2022/No data available,2022/73.1
Hawthorn - South,2021/117,2021/28,2023/12 921,2021/321.6,2021/2 100,2023/3 507 000,2020/No data available,2021/400,2020/11 883,2021/3 693,2021/0,2023/2 090,2022/No data available,2022/75.3
Kew - South,2021/113,2021/64,2023/12 113,2021/432.4,2021/3 050,2023/3 350 000,2020/No data available,2021/501,2020/10 181,2021/3 520,2021/18.2,2023/2 002,2022/No data available,2022/65.4
Kew - West,2021/127,2021/52,2023/13 438,2021/621.1,2021/3 000,2023/2 820 000,2020/No data available,2021/456,2020/11 382,2021/3 997,2021/0,2023/1 943,2022/No data available,2022/66.7
Bulleen,2021/141,2021/35,2023/11 647,2021/667.1,2021/2 400,2023/1 360 000,2020/51 507,2021/460,2020/8 504,2021/4 639,2021/0,2023/1 311,2022/No data available,2022/61.9
Doncaster,2021/300,2021/69,2023/26 905,2021/877.4,2021/2 167,2023/1 500 500,2020/42 538,2021/450,2020/18 002,2021/13 557,2021/0,2023/3 055,2022/No data available,2022/64.8
Templestowe,2021/207,2021/34,2023/17 457,2021/1 611.8,2021/2 700,2023/1 612 000,2020/50 147,2021/513,2020/12 281,2021/7 221,2021/0,2023/2 370,2022/No data available,2022/59.4
Templestowe Lower,2021/187,2021/41,2023/14 445,2021/593.9,2021/2 500,2023/1 391 000,2020/49 423,2021/475,2020/9 815,2021/5 646,2021/0,2023/1 376,2022/No data available,2022/59.3
Doncaster East - North,2021/187,2021/31,2023/16 178,2021/640.3,2021/2 400,2023/1 620 000,2020/45 363,2021/497,2020/11 401,2021/7 968,2021/0,2023/1 632,2022/No data available,2022/60.6
Doncaster East - South,2021/272,2021/19,2023/16 300,2021/476.8,2021/2 383,2023/1 520 000,2020/43 713,2021/460,2020/10 562,2021/8 211,2021/0,2023/1 826,2022/No data available,2022/60.7
Blackburn,2021/296,2021/67,2023/22 928,2021/860.8,2021/2 300,2023/1 385 000,2020/53 343,2021/420,2020/18 137,2021/7 425,2021/0,2023/2 568,2022/No data available,2022/65.7
Blackburn South,2021/153,2021/41,2023/11 047,2021/359.7,2021/2 251,2023/1 292 500,2020/49 401,2021/410,2020/8 164,2021/4 026,2021/0,2023/939,2022/No data available,2022/61.7
Box Hill,2021/214,2021/81,2023/25 286,2021/701.2,2021/2 088,2023/1 559 000,2020/39 083,2021/391,2020/18 318,2021/12 172,2021/4.5,2023/3 551,2022/No data available,2022/73.5
Box Hill North,2021/233,2021/74,2023/19 021,2021/620.9,2021/2 491,2023/1 390 100,2020/49 276,2021/438,2020/14 459,2021/7 838,2021/0,2023/1 831,2022/No data available,2022/66.7
Burwood (Vic.),2021/122,2021/60,2023/14 001,2021/503.9,2021/2 457,2023/1 393 000,2020/37 905,2021/401,2020/10 609,2021/5 912,2021/0,2023/1 347,2022/No data available,2022/73.2
Burwood East,2021/125,2021/19,2023/11 885,2021/426.3,2021/2 147,2023/1 250 434,2020/42 228,2021/439,2020/8 283,2021/5 558,2021/0,2023/1 139,2022/No data available,2022/64.6
Surrey Hills (East) - Mont Albert,2021/121,2021/37,2023/10 645,2021/332.8,2021/2 600,2023/2 210 000,2020/60 982,2021/462,2020/8 611,2021/3 037,2021/0,2023/1 109,2022/No data available,2022/65
Beaumaris,2021/158,2021/32,2023/14 227,2021/596.8,2021/3 000,2023/2 005 000,2020/59 622,2021/612,2020/10 741,2021/3 302,2021/0,2023/1 476,2022/No data available,2022/59.6
Brighton (Vic.),2021/226,2021/68,2023/23 547,2021/820,2021/3 467,2023/3 298 000,2020/69 865,2021/600,2020/18 066,2021/6 169,2021/5,2023/4 258,2022/No data available,2022/59.5
Brighton East,2021/232,2021/26,2023/17 045,2021/560.8,2021/3 335,2023/2 327 500,2020/63 091,2021/602,2020/12 463,2021/4 829,2021/0,2023/1 870,2022/No data available,2022/61.3
Highett (West) - Cheltenham,2021/218,2021/52,2023/12 764,2021/532,2021/2 500,2023/1 480 000,2020/63 609,2021/450,2020/9 936,2021/3 449,2021/0,2023/1 683,2022/No data available,2022/65.3
Hampton,2021/238,2021/68,2023/18 828,2021/568.5,2021/3 000,2023/2 125 000,2020/64 024,2021/471,2020/14 734,2021/5 005,2021/0,2023/2 056,2022/No data available,2022/64.8
Sandringham - Black Rock,2021/174,2021/63,2023/17 861,2021/643,2021/2 800,2023/2 217 500,2020/64 524,2021/486,2020/13 592,2021/4 410,2021/11.8,2023/2 048,2022/No data available,2022/60.5
Bentleigh - McKinnon,2021/352,2021/65,2023/26 178,2021/622.4,2021/2 500,2023/1 751 000,2020/59 107,2021/491,2020/20 101,2021/9 046,2021/0,2023/2 656,2022/No data available,2022/66.2
Carnegie,2021/247,2021/64,2023/20 080,2021/380.5,2021/2 025,2023/1 680 000,2020/56 595,2021/395,2020/17 277,2021/7 939,2021/0,2023/1 706,2022/No data available,2022/71.9
Caulfield - North,2021/337,2021/81,2023/23 932,2021/641.9,2021/2 500,2023/2 485 000,2020/61 580,2021/426,2020/19 927,2021/7 709,2021/0,2023/3 622,2022/No data available,2022/65.4
Caulfield - South,2021/248,2021/24,2023/18 653,2021/474.3,2021/2 798,2023/1 850 000,2020/59 165,2021/483,2020/15 304,2021/6 679,2021/0,2023/2 445,2022/No data available,2022/62.1
Elsternwick,2021/163,2021/37,2023/12 455,2021/286.2,2021/2 447,2023/2 410 000,2020/64 851,2021/426,2020/11 218,2021/3 452,2021/0,2023/1 624,2022/No data available,2022/66.8
Hughesdale,2021/82,2021/30,2023/7 933,2021/201,2021/2 167,2023/1 480 000,2020/57 091,2021/416,2020/6 480,2021/2 947,2021/0,2023/630,2022/No data available,2022/70
Murrumbeena,2021/134,2021/26,2023/9 781,2021/251.5,2021/2 200,2023/1 608 888,2020/58 008,2021/390,2020/8 449,2021/3 139,2021/0,2023/845,2022/No data available,2022/69.9
Ormond - Glen Huntly,2021/162,2021/43,2023/14 038,2021/293.7,2021/2 153,2023/1 805 000,2020/57 286,2021/391,2020/13 023,2021/5 481,2021/0,2023/1 286,2022/No data available,2022/72.1
Bentleigh East - North,2021/263,2021/62,2023/17 258,2021/459.9,2021/2 500,2023/1 507 500,2020/57 987,2021/508,2020/12 481,2021/6 068,2021/5.8,2023/1 587,2022/No data available,2022/65.1
Bentleigh East - South,2021/240,2021/71,2023/14 462,2021/458.8,2021/2 512,2023/1 350 000,2020/58 178,2021/490,2020/10 883,2021/4 613,2021/0,2023/1 198,2022/No data available,2022/63.7
Aspendale Gardens - Waterways,2021/118,2021/34,2023/9 012,2021/530.7,2021/2 115,2023/1 152 500,2020/55 232,2021/510,2020/7 203,2021/3 107,2021/0,2023/701,2022/No data available,2022/66.3
Braeside,2021/No data available,2021/0,2023/28,2021/908.2,2021/1 998,2023/No data available,2020/69 291,2021/504,2020/143,2021/13,2021/0,2023/1 383,2022/No data available,2022/78.6
Carrum - Patterson Lakes,2021/159,2021/97,2023/12 352,2021/582.4,2021/2 100,2023/1 230 000,2020/56 861,2021/420,2020/9 502,2021/2 979,2021/0,2023/1 102,2022/No data available,2022/63.2
Chelsea - Bonbeach,2021/265,2021/127,2023/15 601,2021/542.3,2021/2 065,2023/1 100 000,2020/58 489,2021/381,2020/11 759,2021/3 580,2021/0,2023/932,2022/No data available,2022/63.8
Chelsea Heights,2021/91,2021/31,2023/5 379,2021/319.6,2021/2 001,2023/898 500,2020/54 960,2021/412,2020/4 177,2021/1 346,2021/0,2023/390,2022/No data available,2022/61.8
Highett (East) - Cheltenham ,2021/363,2021/126,2023/25 282,2021/873.8,2021/2 167,2023/1 222 500,2020/56 743,2021/421,2020/19 433,2021/7 546,2021/0,2023/3 006,2022/No data available,2022/63.8
Edithvale - Aspendale,2021/208,2021/86,2023/13 915,2021/510,2021/2 200,2023/1 317 500,2020/61 332,2021/440,2020/10 958,2021/2 606,2021/0,2023/971,2022/No data available,2022/65
Mentone,2021/162,2021/65,2023/13 727,2021/445,2021/2 167,2023/1 447 500,2020/59 486,2021/392,2020/11 229,2021/3 764,2021/0,2023/1 258,2022/No data available,2022/64.2
Moorabbin - Heatherton,2021/159,2021/35,2023/9 426,2021/1 170,2021/2 300,2023/1 200 000,2020/56 002,2021/440,2020/7 520,2021/3 173,2021/0,2023/2 541,2022/No data available,2022/64.3
Moorabbin Airport,2021/No data available,2021/0,2023/26,2021/307.6,2021/No data available,2023/No data available,2020/56 708,2021/486,2020/12,2021/20,2021/0,2023/102,2022/No data available,2022/100
Mordialloc - Parkdale,2021/275,2021/129,2023/21 889,2021/796.8,2021/2 253,2023/1 357 500,2020/62 092,2021/400,2020/17 306,2021/5 146,2021/0,2023/2 175,2022/No data available,2022/65.1
Malvern - Glen Iris,2021/222,2021/68,2023/21 348,2021/615.5,2021/2 800,2023/2 880 000,2020/70 298,2021/410,2020/18 362,2021/5 363,2021/0,2023/3 451,2022/No data available,2022/66.1
Malvern East,2021/261,2021/74,2023/23 167,2021/756.7,2021/2 944,2023/2 222 500,2020/61 126,2021/421,2020/18 899,2021/6 493,2021/0,2023/2 795,2022/No data available,2022/67.8
Bundoora - East,2021/134,2021/107,2023/10 024,2021/407.5,2021/2 013,2023/850 000,2020/49 030,2021/385,2020/7 668,2021/3 034,2021/0,2023/915,2022/No data available,2022/63.9
Greensborough,2021/338,2021/139,2023/20 980,2021/1 009.7,2021/2 167,2023/1 010 000,2020/58 971,2021/400,2020/16 556,2021/4 151,2021/3.4,2023/1 600,2022/2,2022/61.4
Heidelberg - Rosanna,2021/250,2021/77,2023/16 598,2021/637.2,2021/2 300,2023/1 300 000,2020/61 975,2021/401,2020/12 581,2021/4 365,2021/0,2023/1 579,2022/No data available,2022/63.6
Heidelberg West,2021/216,2021/262,2023/15 847,2021/669.1,2021/2 059,2023/865 000,2020/51 092,2021/353,2020/12 360,2021/4 530,2021/4.4,2023/1 791,2022/No data available,2022/70.9
Ivanhoe,2021/151,2021/49,2023/12 924,2021/505,2021/2 500,2023/1 710 000,2020/64 964,2021/440,2020/10 842,2021/3 329,2021/0,2023/1 339,2022/No data available,2022/66.6
Ivanhoe East - Eaglemont,2021/86,2021/17,2023/7 977,2021/427.7,2021/3 000,2023/2 350 000,2020/67 903,2021/451,2020/6 659,2021/1 702,2021/0,2023/1 119,2022/No data available,2022/63.6
Montmorency - Briar Hill,,,,,,,,,,,,,,
Viewbank - Yallambie,2021/306,2021/173,2023/19 039,2021/1 023.8,2021/2 200,2023/1 057 500.5,2020/58 806,2021/400,2020/14 025,2021/4 975,2021/4.9,2023/1 058,2022/No data available,2022/61.5
Watsonia,2021/152,2021/70,2023/9 361,2021/378.6,2021/2 037,2023/840 000,2020/58 876,2021/390,2020/7 114,2021/1 987,2021/7.9,2023/565,2022/No data available,2022/62.8
Kingsbury,2021/77,2021/95,2023/11 698,2021/900.9,2021/2 000,2023/850 000,2020/44 240,2021/369,2020/9 154,2021/4 315,2021/3.8,2023/830,2022/104,2022/74.8
Preston - East,2021/252,2021/273,2023/22 012,2021/774.6,2021/2 000,2023/1 107 500,2020/54 282,2021/391,2020/19 085,2021/6 995,2021/5.2,2023/2 789,2022/No data available,2022/73.6
Preston - West,2021/194,2021/104,2023/13 149,2021/356.8,2021/2 144,2023/1 200 000,2020/56 530,2021/400,2020/11 553,2021/3 789,2021/9,2023/908,2022/No data available,2022/69.6
Reservoir - North East,2021/180,2021/310,2023/15 463,2021/478.8,2021/1 863,2023/817 500,2020/No data available,2021/358,2020/12 196,2021/5 609,2021/5.4,2023/1 006,2022/No data available,2022/70.9
Reservoir - North West,2021/136,2021/84,2023/9 809,2021/453,2021/2 000,2023/870 000,2020/No data available,2021/371,2020/7 896,2021/3 741,2021/0,2023/800,2022/No data available,2022/59.6
Reservoir - South East,2021/160,2021/227,2023/13 429,2021/417.8,2021/1 967,2023/900 000,2020/No data available,2021/349,2020/10 782,2021/4 447,2021/6.5,2023/916,2022/No data available,2022/67.8
Reservoir - South West,2021/194,2021/227,2023/14 728,2021/562.5,2021/2 020,2023/969 000,2020/No data available,2021/361,2020/11 319,2021/4 481,2021/5.3,2023/1 333,2022/No data available,2022/70.1
Eltham,2021/404,2021/154,2023/23 509,2021/1 948.8,2021/2 297,2023/1 197 500,2020/60 025,2021/446,2020/19 249,2021/4 301,2021/0,2023/2 275,2022/28,2022/62.6
Hurstbridge,2021/51,2021/31,2023/3 529,2021/1 484.2,2021/2 000,2023/902 500,2020/55 236,2021/420,2020/3 042,2021/425,2021/0,2023/362,2022/7,2022/64.5
Kinglake,2021/63,2021/94,2023/4 353,2021/31 950.4,2021/1 811,2023/700 000,2020/50 564,2021/306,2020/3 277,2021/414,2021/6.1,2023/431,2022/5 234,2022/67.4
Panton Hill - St Andrews,2021/54,2021/51,2023/5 129,2021/29 219.8,2021/2 200,2023/1 032 500,2020/50 419,2021/300,2020/4 198,2021/621,2021/0,2023/685,2022/7 377,2022/64.1
Plenty - Yarrambat,2021/133,2021/45,2023/9 570,2021/2 911.7,2021/2 272,2023/1 113 500,2020/59 405,2021/480,2020/7 788,2021/1 839,2021/0,2023/1 070,2022/No data available,2022/64.9
Research - North Warrandyte,2021/90,2021/37,2023/6 979,2021/4 979.5,2021/2 500,2023/1 100 000,2020/58 942,2021/462,2020/5 662,2021/1 004,2021/13.5,2023/844,2022/179,2022/64.6
Wattle Glen - Diamond Creek,2021/217,2021/119,2023/14 548,2021/2 682.5,2021/2 167,2023/950 000,2020/59 703,2021/429,2020/12 239,2021/2 096,2021/0,2023/1 182,2022/17,2022/66.7
Bundoora - North,2021/89,2021/67,2023/7 773,2021/471.5,2021/2 000,2023/915 000,2020/49 125,2021/381,2020/6 016,2021/2 763,2021/0,2023/953,2022/No data available,2022/72.8
Bundoora - West,2021/87,2021/86,2023/6 538,2021/256,2021/1 900,2023/815 000,2020/45 748,2021/380,2020/4 867,2021/2 682,2021/11.4,2023/566,2022/No data available,2022/64.2
Mill Park - North,2021/236,2021/197,2023/17 449,2021/813.6,2021/1 764,2023/775 000,2020/51 705,2021/365,2020/14 774,2021/6 176,2021/3.6,2023/1 456,2022/No data available,2022/68.6
Mill Park - South,2021/143,2021/132,2023/11 288,2021/493,2021/1 733,2023/750 000,2020/50 090,2021/369,2020/9 041,2021/4 173,2021/0,2023/729,2022/No data available,2022/67.3
Thomastown,2021/267,2021/188,2023/20 197,2021/1 468.5,2021/1 700,2023/697 500,2020/44 316,2021/350,2020/14 567,2021/10 306,2021/2,2023/3 337,2022/No data available,2022/62.9
Wallan,2021/493,2021/568,2023/26 304,2021/50 774.6,2021/1 800,2023/630 000,2020/55 547,2021/361,2020/16 233,2021/4 270,2021/0.7,2023/1 955,2022/7 065,2022/66.1
Whittlesea,,,,,,,,,,,,,,
Epping - East,2021/210,2021/173,2023/13 354,2021/776.9,2021/1 708,2023/665 000,2020/50 749,2021/360,2020/9 847,2021/4 471,2021/2.9,2023/849,2022/No data available,2022/65.8
Epping - South,2021/98,2021/130,2023/8 301,2021/1 587.1,2021/1 500,2023/672 000,2020/45 867,2021/350,2020/6 327,2021/3 424,2021/0,2023/1 217,2022/177,2022/66.4
Epping (Vic.) - West,2021/276,2021/85,2023/12 699,2021/735.7,2021/1 820,2023/670 000,2020/51 111,2021/381,2020/8 990,2021/5 482,2021/4.4,2023/1 401,2022/No data available,2022/68
South Morang - North,2021/222,2021/103,2023/12 879,2021/1 370.9,2021/1 950,2023/750 000,2020/56 619,2021/400,2020/10 272,2021/3 909,2021/0,2023/966,2022/8,2022/69.8
South Morang - South,2021/181,2021/119,2023/12 588,2021/774.5,2021/1 787,2023/720 500,2020/54 365,2021/380,2020/9 989,2021/3 959,2021/0,2023/894,2022/No data available,2022/67.7
Wollert,2021/630,2021/178,2023/30 758,2021/5 389.2,2021/2 000,2023/700 000,2020/51 609,2021/391,2020/14 489,2021/12 188,2021/0,2023/2 698,2022/279,2022/66.2
Doreen - North,2021/358,2021/255,2023/17 110,2021/943.9,2021/2 000,2023/745 000,2020/No data available,2021/400,2020/13 399,2021/2 848,2021/2.3,2023/1 035,2022/12,2022/64.6
Doreen - South,2021/175,2021/180,2023/11 494,2021/502.2,2021/2 000,2023/690 750,2020/No data available,2021/386,2020/6 576,2021/2 512,2021/5.2,2023/638,2022/No data available,2022/66
Lalor - East,2021/158,2021/116,2023/9 963,2021/332.3,2021/1 663,2023/650 000,2020/No data available,2021/350,2020/7 012,2021/4 945,2021/0,2023/834,2022/No data available,2022/64.1
Lalor - West,2021/201,2021/115,2023/13 819,2021/873.6,2021/1 876,2023/675 000,2020/No data available,2021/366,2020/8 892,2021/6 189,2021/6.7,2023/1 161,2022/No data available,2022/63.4
Mernda - North,,,,,,,,,,,,,,
Mernda - South,2021/245,2021/178,2023/13 024,2021/862.7,2021/1 950,2023/660 000,2020/No data available,2021/390,2020/8 642,2021/4 268,2021/0,2023/852,2022/No data available,2022/67.3
Airport West,2021/136,2021/50,2023/8 464,2021/371.9,2021/2 085,2023/890 000,2020/60 083,2021/401,2020/6 565,2021/2 054,2021/0,2023/968,2022/No data available,2022/64
Essendon Airport,2021/No data available,2021/0,2023/14,2021/335.5,2021/No data available,2023/No data available,2020/39 293,2021/No data available,2020/23,2021/8,2021/0,2023/160,2022/No data available,2022/100
Keilor,2021/118,2021/39,2023/8 562,2021/1 751.2,2021/2 019,2023/890 000,2020/55 777,2021/396,2020/6 575,2021/2 083,2021/0,2023/2 685,2022/No data available,2022/58.6
Niddrie - Essendon West,2021/113,2021/33,2023/7 797,2021/280.3,2021/2 400,2023/1 140 000,2020/61 999,2021/435,2020/6 189,2021/1 538,2021/0,2023/851,2022/No data available,2022/67.3
Strathmore,2021/110,2021/69,2023/10 323,2021/414.4,2021/2 500,2023/1 465 000,2020/62 589,2021/450,2020/8 261,2021/1 943,2021/8.3,2023/927,2022/No data available,2022/64.6
Avondale Heights,2021/175,2021/54,2023/12 570,2021/540.9,2021/2 167,2023/950 000,2020/No data available,2021/400,2020/8 566,2021/4 926,2021/0,2023/960,2022/No data available,2022/57.4
Keilor East,2021/219,2021/60,2023/15 312,2021/548.3,2021/2 167,2023/960 000,2020/No data available,2021/408,2020/10 737,2021/4 363,2021/0,2023/1 156,2022/No data available,2022/60.5
Gisborne,2021/299,2021/165,2023/14 905,2021/21 105.7,2021/2 167,2023/965 000,2020/59 654,2021/430,2020/10 689,2021/1 835,2021/3.8,2023/1 465,2022/3 841,2022/61.4
Macedon,2021/59,2021/19,2023/3 590,2021/7 299,2021/2 492,2023/1 297 500,2020/61 638,2021/361,2020/2 650,2021/524,2021/31.6,2023/389,2022/23,2022/57.8
Riddells Creek,2021/58,2021/47,2023/4 561,2021/8 335,2021/2 000,2023/840 000,2020/56 191,2021/400,2020/3 511,2021/501,2021/0,2023/417,2022/604,2022/63.5
Romsey,2021/186,2021/167,2023/11 268,2021/62 471,2021/1 928,2023/750 000,2020/53 594,2021/365,2020/8 232,2021/1 111,2021/0,2023/1 139,2022/309,2022/63.2
Coburg North,2021/132,2021/91,2023/8 826,2021/487.8,2021/2 167,2023/895 000,2020/55 518,2021/401,2020/7 250,2021/2 590,2021/0,2023/1 363,2022/No data available,2022/68.8
Fawkner,2021/240,2021/60,2023/14 707,2021/508.5,2021/1 880,2023/755 000,2020/43 312,2021/380,2020/10 236,2021/6 328,2021/0,2023/1 431,2022/No data available,2022/63.9
Gowanbrae,2021/43,2021/9,2023/3 191,2021/152.3,2021/2 000,2023/807 000,2020/59 771,2021/423,2020/2 411,2021/762,2021/0,2023/207,2022/No data available,2022/64.8
Hadfield,2021/120,2021/43,2023/6 525,2021/305,2021/2 000,2023/870 000,2020/52 379,2021/376,2020/4 284,2021/2 024,2021/0,2023/475,2022/No data available,2022/63.9
Glenroy - East,2021/243,2021/109,2023/15 431,2021/624.7,2021/1 885,2023/795 000,2020/No data available,2021/369,2020/13 214,2021/6 137,2021/0,2023/1 307,2022/No data available,2022/67.8
Glenroy - West,2021/139,2021/58,2023/9 349,2021/261.1,2021/1 980,2023/815 000,2020/No data available,2021/369,2020/7 519,2021/4 035,2021/0,2023/768,2022/No data available,2022/71.3
Oak Park,2021/116,2021/51,2023/8 289,2021/235.3,2021/2 167,2023/1 002 000,2020/No data available,2021/401,2020/6 833,2021/2 771,2021/0,2023/545,2022/No data available,2022/71.2
Pascoe Vale,2021/263,2021/119,2023/17 934,2021/463.1,2021/2 100,2023/1 020 000,2020/No data available,2021/400,2020/15 416,2021/5 184,2021/2.9,2023/1 297,2022/No data available,2022/69.3
Sunbury,2021/176,2021/214,2023/14 231,2021/12 954.9,2021/1 789,2023/670 000,2020/56 488,2021/371,2020/10 829,2021/2 171,2021/0,2023/910,2022/9,2022/66.6
Diggers Rest,2021/46,2021/87,2023/6 443,2021/5 189.2,2021/1 800,2023/662 500,2020/No data available,2021/396,2020/2 175,2021/1 237,2021/0,2023/351,2022/2,2022/70.4
Sunbury - South,2021/254,2021/192,2023/16 043,2021/4 145,2021/1 800,2023/691 000,2020/No data available,2021/351,2020/12 013,2021/2 843,2021/0,2023/1 176,2022/105,2022/63.7
Sunbury - West,,,,,,,,,,,,,,
